"UHAWAII_ID"	"PSMSL_ID"	"Site"	"Basin"	"Lat"	"Lon"	"Region"	"GPD_Record_Start"	"GPD_Record_End"	"Annual_Trend"	"Trend_Start"	"Trend_End"	"Lambda"	"Q99"	"Shape50"	"Shape5"	"Shape95"	"Scale50"	"Scale5"	"Scale95"	"Vshape"	"Vscale"	"Vscaleshape"
"184a"	"18400000"	"Port Elizabeth"	"indian"	-34.05	25.75	"South Africa"	1978	2016	1.86227994847575	1978	2016	2.17944892944893	0.515192192418512	-0.215831652256036	-0.391689458550087	-0.0399738459619855	0.110025354582198	0.0800993045523713	0.139951404612024	0.0080505790841636	0.000233132388550728	-0.00110486502754049
"140a"	"14000000"	"Kelang"	"indian"	3.05	101.43	"Malaysia"	1983	2015	2.57846335477052	1983	2015	1.84852318924749	0.946385448745789	-0.292951899340118	-0.540269284510174	-0.045634514170062	0.138050167932307	0.090485328469108	0.185615007395505	0.0159225679259791	0.000588946558784421	-0.0026671187038786
"168a"	"16800000"	"Darwin"	"indian"	-12.52	130.97	"Australia"	1984	2016	5.36913489736068	1984	2016	2.12108013937282	1.27139942701337	-0.0945912780551229	-0.342520014332048	0.153337458221802	0.094186597115002	0.0621392638601774	0.126233930369827	0.016001384146236	0.000267354569366491	-0.00162184691068653
"141a"	"14100000"	"Keling"	"indian"	2.35	102.18	"Malaysia"	1984	2015	2.59103565365025	1984	2015	1.625	0.496176698690268	-0.20510337471868	-0.478583580853054	0.0683768314156935	0.0724245496690058	0.0448131504275913	0.10003594891042	0.0194695366105175	0.000198463501407787	-0.00163633430541324
"143a"	"14300000"	"Lumut"	"indian"	4.3	100.73	"Malaysia"	1984	2015	2.87943548387102	1984	2015	1.625	0.576001246365659	-0.282588688278769	-0.490428540155832	-0.0747488364017052	0.0967330662585837	0.0644799322161	0.128986200301067	0.0112450519567132	0.000270799377038344	-0.00146620459847186
"171a"	"17100000"	"Cocos"	"indian"	-12.12	96.97	"Australia"	1985	2016	6.54234594972508	1985	2016	1.3125	0.38450582081295	-0.278187625285868	-0.535027400762108	-0.0213478498096277	0.067469573291057	0.0413240718880246	0.0936150746940894	0.017172296605477	0.000177949907970757	-0.00148178511557356
"151a"	"15100000"	"Zanzibar"	"indian"	-6.2	39.25	"Tanzania"	1984	2015	0.274563790619508	1984	2015	2.09375	0.896154679451879	-0.43273279673984	-0.62715903894009	-0.238306554539591	0.0992343042942189	0.0703776488230795	0.128090959765358	0.00984041881497501	0.000216768317414781	-0.00134511287266235
"176a"	"17600000"	"Esperance"	"indian"	-33.9	122.02	"Australia"	1985	2016	3.4015373699149	1985	2016	2	0.48597021066321	-0.457536023872317	-0.706443656634567	-0.208628391110067	0.152638301738311	0.102140961215984	0.203135642260638	0.0161279900525166	0.000663805475693492	-0.00305584757650075
"144a"	"14400000"	"Penang"	"indian"	5.47	100.47	"Malaysia"	1984	2015	3.51790878754168	1984	2015	1.9375	0.579954281479564	-0.0426314954455926	-0.264855581059981	0.179592590168795	0.0508312225211206	0.0338987991867387	0.0677636458555025	0.0128554141882556	7.46349169305725e-05	-0.000686149387978776
"175a"	"17500000"	"Fremantle"	"indian"	-32.05	115.73	"Australia"	1984	2015	5.16491935483876	1984	2015	2.28125	0.475395773238097	-0.132789606929242	-0.307570066290035	0.0419908524315509	0.103659708687323	0.0739410704109519	0.133378346963695	0.00795224168740404	0.000229911994954618	-0.000987676944107982
"166a"	"16600000"	"Broome"	"indian"	-18.02	122.23	"Australia"	1986	2016	5.87043833673935	1986	2016	2.03221319438311	1.9038158119305	-0.297719160077366	-0.534315089502173	-0.0611232306525585	0.182134725324228	0.121306941606423	0.242962509042032	0.014571972897076	0.00096318077186922	-0.00325862832751958
"142a"	"14200000"	"Langkawi"	"indian"	6.9	99.8	"Malaysia"	1985	2015	3.1167487684729	1985	2015	1.96787228404875	0.669848209100956	-0.213452390325902	-0.430206122431697	0.00330134177989325	0.0742234361045278	0.0499494653656209	0.0984974068434346	0.0122302965031658	0.00015338590960786	-0.00111185435192488
"103c"	"10300000"	"Port Louis-C"	"indian"	-20.2	57.6	"Mauritius"	1986	2015	3.79748221127522	1986	2015	1.3333941772383	0.283849866742461	-0.364487599746961	-0.658541169746329	-0.0704340297475929	0.0752367231557165	0.044246960572273	0.10622648573916	0.0225090274464401	0.000250000176965236	-0.00213135755703607
"105a"	"10500000"	"Rodrigues"	"indian"	-19.68	63.43	"Mauritius"	1986	2015	5.54953952929674	1986	2015	1.40006388610021	0.439089863641478	0.10555639812911	-0.212442976048857	0.423555772307077	0.0814030081234	0.0457885044726607	0.117017511774139	0.0263242707256996	0.000330185205541091	-0.00191587844505226
